markerName	methState
2	1111100
2	0100110
2	0111111
2	1111111
2	0011111
2	1001111
2	1010111
2	1111101
2	1110110
2	1111111
2	1101111
2	0000110
2	1111111
2	0101110
2	1111111
2	1100101
2	1111011
2	1111111
2	1111111
2	0111101
2	1111111
2	1011111
2	1111111
2	0111111
2	1111111
2	0111011
2	1110011
2	1111111
2	1011111
2	1110111
2	1111111
2	1101111
2	0110111
2	1111110
2	0011101
2	1111111
2	1111011
2	1111111
2	1111111
2	1101111
2	1101111
2	1111101
2	101111
2	1011111
2	1110101
2	0011111
2	1111111
2	1111111
2	1111100
2	1111110
2	1110111
2	1111111
2	1111111
2	1111110
2	1101111
2	1111111
2	1111011
2	1111101
2	1111111
2	1111111
2	1111111
2	1110111
2	1101111
2	0111110
2	1111111
2	1111111
2	1111110
2	1111111
2	1111110
2	1111111
2	1110111
2	1111111
2	0101111
2	1111111
2	1110011
2	1110010
2	0111110
2	1011111
2	1111111
2	1111110
2	1110010
2	0011011
2	1111101
2	1111101
2	1111111
2	1011111
2	1111101
2	1011111
2	1000011
2	1111111
2	0011011
2	1010011
2	1011011
2	1111111
2	1110111
2	1111111
2	1111111
2	1101111
2	1011111
2	1111111
2	1111111
2	1110111
2	1011111
2	1111111
2	1110111
2	1111111
2	1011111
2	1110111
2	1111111
2	0111101
2	1111111
2	1111111
2	1111111
2	0111011
2	1111111
2	1001111
2	1011111
2	1111110
2	1111101
2	1101011
2	1111111
2	1111011
2	0111111
2	0111111
2	0111101
2	1111110
2	1011011
2	1111011
2	1111011
2	1111011
2	1110110
2	1111110
2	1111110
2	1110101
2	1111011
2	1111111
2	1111111
2	1111111
2	1101100
2	1111110
2	1111111
2	1111111
2	1111011
2	1111111
2	0110101
2	0110010
2	1110110
2	1110111
2	1111101
2	0111111
2	1111111
2	0111011
2	1111111
2	1111111
2	1011010
2	0101111
2	0011111
2	1111111
2	1110110
2	1111111
2	1011111
2	1101111
2	1111011
2	1111011
2	1111111
2	1111111
2	1111111
2	1100111
2	0011111
2	0010110
2	1111111
2	0101111
2	1111111
2	1110111
2	1111111
2	1111111
2	0111100
2	0101111
2	1111110
2	0100111
2	1011111
2	1111111
2	0111111
2	1110111
2	1011111
2	1111111
2	0101111
2	1110111
2	1111111
2	0111111
2	0111111
2	1111110
2	1111111
2	1100111
2	1111111
2	1111111
2	1111101
2	1111111
2	1101101
2	1111100
2	1111110
2	0111110
2	1111111
2	1011111
2	1111011
2	1011010
2	1111111
2	1111110
2	1100110
2	1111100
2	1111111
2	0101111
2	1111101
2	1111111
2	1101011
2	1011110
2	1111111
2	1101110
2	1111011
2	1110101
2	1111101
2	1111111
2	1111101
2	1111111
2	1111111
2	1111010
2	1111111
2	0110111
2	1011101
2	1101111
2	1111110
2	1111101
2	0111111
2	1111111
2	1111111
2	1010111
2	1110111
2	1111111
2	1111011
2	1111111
2	1111010
2	1111110
2	1111111
2	1011011
2	1111111
2	1111101
2	0100101
2	1111110
2	1111111
2	1111111
2	1111111
2	1101100
2	1110111
2	1111111
2	1111110
2	1111111
2	1111110
2	1111111
2	1111111
2	1111111
2	0011011
2	1111111
2	1101101
2	0111011
2	1111110
2	1111111
2	1111111
2	1111111
2	1111111
2	1101011
2	1111111
2	1111111
2	1110111
2	1111111
2	1111111
2	1111011
2	1111111
2	1111111
2	1111111
2	1101011
2	1111111
2	1111110
2	0111101
2	1011111
2	1111111
2	1111111
2	1111111
2	1111110
2	0111101
2	1111101
2	1101111
2	1111111
2	1111111
2	0111011
2	0111110
2	1111111
2	1111110
2	1101111
2	1111001
2	1101101
2	1111111
2	0101111
2	1111111
2	1111111
2	1000100
2	1111111
2	1111101
2	1111111
2	0111111
2	1111111
2	1111011
2	1011111
2	1011011
2	1111111
2	1111111
2	1001111
2	1111111
2	1101111
2	1111101
2	1111111
2	1000101
2	0101110
2	1111111
2	1111111
2	1111111
2	1111111
2	0110111
2	1101011
2	0111101
2	1110111
2	1111101
2	1011111
2	1111111
2	0111001
2	1111111
2	1111111
2	1111101
2	1111111
2	1001011
2	1111111
2	1001000
2	1111111
2	1111111
2	111101
2	1110101
2	1111111
2	1110111
2	1111111
2	0001111
2	1111111
2	1111100
2	1111111
