markerName	tumor	normalPlasma
2	5:3	97:12
3	3:2	57:9
4	4:4	24:3
5	3:3	32:5
6	3:3	83:9
7	3:3	50:9
8	3:3	52:5
9	3:3	24:5
10	4:4	46:5
11	3:2	22:3
12	3:2	35:5
13	2:2	27:5
14	2:2	92:12
15	3:2	70:6
16	2:2	94:10
17	2:2	43:4
18	2:2	41:7
19	2:2	51:6
20	2:2	76:11
21	3:3	71:11
22	2:2	19:2
23	3:2	52:6
24	2:2	44:7
25	3:2	33:4
26	4:3	128:16
27	3:2	53:6
28	4:3	66:8
29	4:3	38:5
30	4:4	29:9
31	3:2	64:8
32	2:2	56:6
33	3:2	44:4
34	3:2	40:5
35	3:2	100:15
36	2:2	31:3
37	3:2	44:4
38	2:3	30:4
39	3:3	59:10
40	3:3	50:6
41	4:3	21:2
42	5:4	47:7
43	4:3	68:7
44	4:2	54:7
45	5:3	21:24
46	3:3	88:11
47	5:5	1:13
48	5:4	4:87
49	3:2	56:5
50	5:4	2:21
51	3:6	2:57
52	2:2	54:7
53	3:3	16:3
54	5:4	40:3
55	4:4	7:61
56	3:4	3:56
57	4:4	2:43
58	2:4	10:6
59	3:3	5:146
60	4:6	3:47
61	2:3	2:96
62	3:2	72:7
63	7:5	10:109
64	3:3	4:50
65	3:3	6:101
66	4:4	4:55
67	7:3	3:5
68	3:4	1:52
69	3:3	2:55
70	6:3	9:27
71	7:3	2:41
72	4:5	37:8
73	4:5	33:10
74	2:3	7:66
75	7:5	16:50
76	3:2	66:5
77	5:4	6:12
78	3:3	135:11
79	5:4	82:5
81	5:2	66:6
82	5:4	5:53
83	4:3	34:5
84	3:2	73:4
85	3:4	1:32
86	3:2	63:4
87	3:3	54:4
88	4:6	30:10
89	2:4	2:32
90	3:3	89:10
91	2:2	65:7
92	4:3	3:57
93	4:4	35:3
94	4:3	52:5
95	3:2	64:10
96	2:2	32:4
97	3:4	1:47
98	2:3	1:68
99	2:4	3:134
100	4:3	74:8
101	3:3	2:14
102	2:3	2:46
103	4:3	63:5
104	4:3	46:4
105	3:3	29:3
106	3:2	79:5
107	2:2	28:3
108	3:2	48:4
109	2:4	2:97
110	3:4	2:88
111	4:4	40:4
112	3:4	30:9
113	2:2	24:2
114	2:2	67:6
115	3:2	88:8
116	3:3	53:8
117	3:2	66:6
118	2:3	8:8
119	2:2	7:3
120	3:4	85:16
121	3:6	21:8
122	3:3	44:8
123	2:2	33:5
124	2:2	43:5
125	3:3	26:4
126	2:2	54:7
127	3:4	34:6
128	4:4	47:6
129	4:4	82:24
130	3:2	42:4
131	3:5	46:12
132	3:2	46:5
133	3:4	56:7
134	3:3	73:6
135	2:3	43:4
136	3:4	89:9
137	2:2	74:6
138	3:2	175:11
139	2:2	20:3
140	4:5	82:7
141	3:3	61:6
142	3:3	27:4
143	4:4	26:7
144	3:3	28:3
145	3:2	30:3
146	2:2	38:6
147	4:3	43:5
148	4:4	53:5
149	2:2	33:4
150	2:3	52:10
151	3:3	18:4
152	4:4	51:6
153	2:2	27:7
154	4:3	174:18
155	3:3	2:14
156	3:3	2:39
157	4:4	2:25
158	5:4	1:23
159	3:3	2:27
160	3:3	5:61
161	3:3	143:22
162	3:2	56:5
164	2:4	4:52
165	2:3	3:93
166	3:5	4:55
167	2:3	5:73
168	2:3	4:142
169	3:2	20:6
170	2:2	39:3
171	5:3	8:43
172	6:3	6:107
173	5:4	4:25
174	5:6	2:84
175	7:5	9:39
176	2:3	2:184
177	2:2	7:84
178	4:4	50:6
180	6:8	2:25
181	4:3	4:54
182	4:3	29:3
183	2:2	38:4
184	3:2	70:6
185	3:2	55:4
186	3:3	60:7
187	3:2	118:8
188	2:3	3:29
189	2:3	5:69
190	3:4	7:69
191	2:3	8:48
192	3:4	7:163
193	3:3	6:24
194	3:3	4:28
195	3:3	3:74
196	4:7	2:71
197	5:3	2:22
198	5:4	2:15
199	2:4	3:28
200	3:3	31:6
201	2:3	3:132
202	2:3	6:104
203	4:3	60:8
204	3:4	17:8
205	3:2	34:3
206	3:3	29:3
207	3:3	55:7
208	2:2	56:6
209	2:2	18:3
210	3:2	28:4
211	3:2	41:10
212	2:2	47:8
213	3:2	49:3
214	3:3	39:5
215	3:3	52:15
216	3:2	31:5
217	4:4	48:9
218	2:3	14:15
219	3:3	34:3
220	5:3	103:8
221	4:5	2:64
222	3:3	4:23
223	7:4	8:74
224	5:6	4:71
225	5:4	2:30
226	3:2	69:5
227	6:3	61:4
228	3:4	12:40
229	5:4	34:9
230	2:4	1:51
231	4:5	4:59
232	3:4	11:97
233	2:2	6:71
234	3:3	3:73
235	2:3	5:52
236	6:5	74:9
237	2:3	2:10
238	3:3	11:31
239	3:3	46:6
240	7:4	5:52
241	4:4	8:124
242	3:4	63:17
243	3:4	32:8
244	2:2	17:4
245	5:5	54:7
246	3:2	39:7
247	3:2	115:8
248	3:2	160:12
249	3:2	125:13
250	3:3	97:15
251	2:2	45:10
252	2:2	52:5
254	3:2	106:16
255	2:2	45:6
256	5:3	98:8
257	4:3	61:10
258	4:3	72:7
259	4:3	65:11
260	3:2	68:13
261	2:3	49:8
262	3:3	21:4
263	2:2	27:4
264	5:6	53:10
265	3:4	1:38
266	5:3	2:28
267	5:4	3:34
268	6:7	13:104
269	8:5	5:15
270	3:4	5:74
271	2:3	9:108
272	6:5	2:49
273	2:3	44:5
274	4:3	74:6
275	4:4	32:3
276	4:4	2:49
277	3:3	97:9
278	3:2	57:6
279	4:6	3:124
280	2:2	32:5
281	5:4	43:5
282	4:4	38:6
283	2:2	33:3
284	3:2	43:4
285	4:3	32:4
286	3:3	24:4
287	4:3	33:4
288	2:2	36:4
289	4:4	47:8
290	3:3	33:6
291	3:3	107:12
292	3:2	105:13
293	3:2	61:6
294	5:3	35:10
295	3:3	13:6
296	2:3	37:11
297	2:4	34:26
298	2:2	40:4
299	3:2	58:10
300	4:11	47:7
301	4:5	38:8
302	3:3	64:8
305	3:3	33:14
306	2:5	18:12
307	2:3	4:92
308	3:3	37:6
309	3:5	64:13
310	2:2	53:8
311	3:4	18:10
312	2:2	39:5
313	2:3	8:11
314	3:3	56:17
315	2:4	15:5
316	4:8	24:5
317	4:6	18:17
318	3:4	23:3
319	4:4	29:6
320	3:3	48:7
321	3:3	24:4
322	4:8	40:19
323	2:2	41:6
324	3:3	41:6
325	3:3	52:6
326	2:3	35:8
327	3:6	36:9
328	2:2	24:5
329	4:6	22:5
330	2:2	37:4
332	3:2	75:6
333	3:2	66:6
334	3:2	38:5
335	5:4	2:18
336	2:2	57:5
337	3:3	51:7
338	2:2	35:4
339	2:2	67:6
340	4:4	3:45
341	3:3	38:6
342	6:5	5:14
343	3:3	2:51
344	3:4	2:42
345	2:2	2:55
346	5:4	40:5
347	4:4	10:73
348	3:3	5:131
349	6:5	1:16
350	4:3	6:34
351	5:7	4:54
352	9:6	6:37
353	4:4	20:3
354	3:3	105:12
355	3:2	54:5
356	3:3	29:3
357	3:3	49:6
358	4:3	57:5
359	3:5	7:131
360	2:2	76:8
361	8:5	17:80
362	5:5	27:56
363	3:4	1:7
364	4:4	11:37
365	4:4	11:57
366	3:3	4:47
367	3:4	6:39
368	4:5	77:6
369	3:2	55:5
370	4:3	13:35
371	3:2	71:11
372	2:2	33:3
373	4:5	48:17
374	2:3	68:14
375	4:3	73:8
376	2:2	3:60
377	4:3	22:3
378	3:3	43:6
379	2:4	126:20
380	3:3	46:10
