marker_index	num_CpG_sites	sites_methylation_status
2	3	000
2	3	000
2	3	000
2	6	111111
2	5	00000
2	12	111111101111
2	12	111111110011
2	12	111111111111
2	12	111110011111
2	12	111111111111
2	10	1111111111
2	8	11111101
2	8	11111111
2	9	011111111
2	9	111111111
2	10	1111111111
2	11	11111111111
2	5	10000
2	7	1101111
2	8	11111111
2	5	11111
3	8	01110111
3	5	00000
3	4	1101
3	3	111
4	3	111
4	3	111
4	4	1111
4	6	111111
4	7	1111111
4	7	1111111
4	7	1111110
4	7	1111101
4	4	1111
5	2	00
5	2	00
5	10	1010111111
5	5	00000
5	5	11100
5	5	11111
5	3	000
5	7	0110111
5	8	11101110
5	6	101111
5	3	111
5	3	110
5	3	111
5	5	11011
6	2	11
6	7	0111111
6	6	111111
6	6	111111
6	8	01111000
6	5	10001
6	10	1111111111
6	10	0000000000
6	7	1101111
6	7	1101111
6	11	11101111101
6	3	000
7	1	1
7	1	1
7	8	11111111
7	7	1101111
7	5	11111
7	7	1111111
7	9	111111111
7	11	11111111111
7	11	11101111111
7	9	111111100
7	9	111011011
7	5	00000
7	9	011101111
7	9	101101111
7	8	11111111
8	7	1101111
8	6	111111
8	6	111111
8	7	1111111
8	6	111111
8	6	111111
8	8	11111111
8	7	1111111
8	6	111101
8	7	1111111
8	7	1111111
8	7	1111111
8	4	0000
8	4	0000
8	6	111111
8	5	00000
8	3	111
9	1	1
9	7	1101111
9	6	111111
9	10	1111011110
9	7	0111111
9	8	11111111
9	10	1111111111
9	8	11111111
9	3	111
9	3	111
9	6	111111
9	4	1100
10	4	1010
10	6	111111
10	8	11111111
10	6	111011
10	9	110000111
10	6	111111
10	6	000111
10	4	0000
11	4	1111
11	5	11111
11	4	1111
11	6	111111
11	5	11111
11	3	111
11	7	1111111
11	3	000
11	7	1111111
11	6	111111
11	6	111111
11	6	111111
12	5	11111
12	5	00000
12	5	11101
12	6	111111
12	10	1111111111
12	5	00000
12	5	00000
12	4	1111
13	6	111111
13	3	000
13	5	11111
13	3	000
13	6	111111
13	4	0000
13	6	111111
13	6	111111
14	6	111111
14	7	1111111
14	6	111111
14	6	110111
14	6	111111
14	6	000000
14	5	11111
14	5	11011
14	5	10111
15	5	11111
15	5	11111
15	3	001
15	4	0011
15	6	111111
16	6	111111
16	5	11111
16	3	111
16	3	000
16	5	11111
16	4	1111
17	2	11
17	2	11
17	2	11
17	2	11
17	2	11
17	6	111111
17	4	1111
17	3	111
17	3	111
18	1	0
18	1	0
18	3	111
18	6	111111
18	5	11001
18	5	11111
18	4	1111
18	4	1111
18	3	111
19	1	1
19	4	1111
19	9	111110111
19	7	1111111
19	4	0000
19	6	000000
19	8	11111111
19	6	000000
19	5	11111
19	5	11101
19	5	11101
20	1	1
20	1	1
20	1	1
20	1	1
20	5	00000
20	5	11111
20	6	111111
20	6	111111
20	4	0000
20	7	1111110
20	6	010011
20	8	11111111
20	5	00000
20	6	111111
20	4	1111
20	5	11111
20	4	1111
20	6	011111
20	6	111111
21	1	1
21	7	0110111
21	4	1111
21	3	111
22	1	1
22	3	110
22	3	001
22	3	110
22	5	11000
22	3	111
23	10	0000000000
23	6	101111
23	7	1111111
23	6	101111
24	2	10
24	4	0000
24	6	111111
24	5	00000
24	4	0000
24	4	1111
25	4	1111
25	4	1111
25	4	1111
25	5	11111
25	3	000
25	3	111
26	2	11
26	2	11
26	9	111111111
26	7	1101111
26	9	111111111
26	8	11011111
26	8	11111111
26	8	10111111
26	5	11111
26	5	11111
26	7	1111111
26	6	111111
27	1	1
27	3	000
27	4	0101
27	4	1101
28	4	1111
28	6	000000
28	6	111111
28	4	0000
28	6	111111
28	5	00000
28	4	1111
28	3	111
28	3	111
28	3	111
29	1	0
29	1	0
29	4	1111
29	5	11101
29	6	110111
29	5	11111
29	4	0000
29	7	1111111
29	6	110111
29	6	110111
29	3	000
30	4	1111
30	5	11111
30	7	1011111
30	6	111011
30	6	111111
30	6	111100
30	4	1100
31	3	000
31	3	000
31	3	000
31	3	000
31	7	1111111
31	6	111111
31	5	11111
31	6	111111
31	6	111111
31	5	00000
31	7	1011111
31	7	1111111
31	6	110110
31	7	1101101
32	2	10
32	5	11111
32	5	01111
32	4	1111
32	6	111111
32	5	11111
32	5	11111
32	7	1111111
32	7	1111111
32	7	1111111
33	3	010
33	10	1111101111
33	6	011111
33	7	1101111
33	4	1111
34	1	1
34	1	1
34	1	1
34	1	1
34	4	1111
34	5	11111
34	4	1111
34	4	1111
35	9	110111111
35	10	1110111111
35	9	111111111
35	8	11111111
35	7	0011111
35	4	1101
36	5	11111
36	5	11111
36	7	1011111
36	8	11111111
36	6	011011
36	8	10111111
36	8	11111111
36	4	0111
36	7	1111111
36	7	1111111
36	7	1111011
36	5	00000
37	2	11
37	5	11101
37	4	1111
37	4	1111
37	5	11111
37	3	101
37	4	1111
37	4	1111
37	3	000
38	1	1
38	4	1111
38	4	1001
38	3	111
39	3	111
39	3	111
39	4	1111
39	6	010111
39	6	010111
40	5	11111
40	5	11111
40	4	1101
40	3	111
41	1	1
41	1	1
41	1	1
41	1	1
41	6	111111
41	12	111111111111
42	4	1110
43	4	1111
43	3	111
43	3	111
43	10	1111111111
43	7	0000000
43	12	111011111111
43	10	1111111111
43	6	000000
43	5	11111
43	5	11101
44	1	1
44	13	1111111101011
44	6	000000
44	6	000010
44	6	000000
44	5	11011
44	3	011
45	1	1
45	3	011
45	7	1111111
46	1	0
46	1	0
46	1	0
46	1	0
46	6	111111
46	7	1111111
46	12	111111111111
46	11	11111111111
46	11	11111111111
46	10	1111111111
46	11	10111111111
46	9	111111111
46	9	111111111
46	7	0000000
46	7	1101000
46	5	11111
46	4	1111
46	4	1111
46	4	1111
47	8	11000011
48	1	1
48	6	000000
48	9	000000000
48	4	0001
49	5	10111
49	5	11111
49	7	1001010
49	7	1111111
49	8	11111111
50	8	00000000
50	10	0000000000
51	3	001
51	3	001
51	3	001
51	3	001
51	7	0000000
51	6	000000
51	6	000000
51	4	0000
52	18	000000000000000000
52	6	110111
52	6	000100
52	7	1011111
52	5	00000
53	3	000
53	5	11111
53	5	11111
53	6	111111
53	6	111111
53	4	1111
54	3	111
54	5	11111
54	4	1111
54	4	0111
55	19	0000100000000000110
55	17	00000000000000000
55	17	00000000101010100
55	16	0000000000000000
55	10	0000000000
56	1	0
56	1	0
56	10	0000100000
56	7	0000000
56	9	000000000
56	4	0001
57	2	00
57	2	00
57	6	111101
57	13	0000000000000
57	14	00000000000000
57	4	0000
57	4	0000
58	5	11111
58	5	11111
58	5	11110
58	4	1111
59	12	000000000000
59	7	0000000
59	7	0000000
59	3	000
59	6	000000
59	6	000010
59	5	00000
60	2	00
60	10	0000001000
60	6	000000
60	5	00000
60	10	0000000000
60	8	00000000
60	7	0000000
60	6	000000
61	10	0000000000
61	11	00000000000
61	20	00000000000000000000
61	8	00000000
61	6	000000
62	5	11111
62	5	10111
62	5	10111
62	6	111111
62	6	111111
62	4	1111
62	4	1111
62	5	11111
62	5	11111
62	5	11111
62	4	1111
62	6	111111
62	10	0000111111
62	11	11111111011
62	13	1111111101111
