,marker1,marker2,marker3
sample1,0.8967302,0.9444779,0.9274943
sample2,0.6807593,0.9391826,0.8329514
sample3,0.8407675,0.9312582,0.8824475
sample4,0.8614165,0.9571972,0.8170904
sample5,0.8685513,0.9138511,0.899312
sample6,0.592625,0.9626752,0.8629679
sample7,0.8382709,0.9145921,0.2179631
sample8,0.8554025,0.9510139,0.8368095
sample9,0.8286787,0.9376723,0.8830746
sample10,0.8362881,0.928686,0.8326099
sample11,0.8782031,0.9801491,0.9095433
sample12,0.6815395,0.9093327,0.8749625
sample13,0.8751985,0.952768,0.8362279
sample14,0.7974884,0.9184259,0.9163573
sample15,0.8785107,0.8995657,0.8645149
sample16,0.81599,0.9719771,0.8779748
sample17,0.4364249,0.8534525,0.3489145
sample18,0.8701227,0.9525218,0.8704187
sample19,0.8737151,0.9037688,0.8957254
sample20,0.8572883,0.9467923,0.8380768
